pos|word|fpsaPresent|fpsaPerfect|ppp|conjugation|definition
VERB|tendere|tendo|tetendi|tensus|3|to stretch, extend; to go
VERB|tenere|teneo|tenui|tentus|2|to hold, keep, possess, restrain
VERB|terrere|terreo|terrui|territus|2|to frighten, terrify
VERB|timere|timeo|timui||2|to fear, be afraid, be afraid of
VERB|tolerare|tolero|toleravi|toleratus|1|to bear, endure, tolerate
VERB|tondere|tondeo|totondi|tonsus|2|to shave, cut
VERB|trahere|traho|traxi|tractus|3|to draw, drag
VERB|vacare|vaco|vacavi|vacatus|1|to be free from
VERB|valere|valeo|valui||2|to be strong, have power; to be well, fare well
VERB|venire|venio|veni|ventus|4|to come
VERB|versare|verso|versavi|versatus|1|to turn; to change
VERB|videre|video|vidi|visus|2|to see, observe; to understand
VERB|vincere|vinco|vici|victus|3|to conquer, overcome
VERB|vitare|vito|vitavi|vitatus|1|to avoid, shun
VERB|vivere|vivo|vixi|victus|3|to live
VERB|vocare|voco|vocavi|vocatus|1|to call, summon
VERB|volare|volo|volavi|volatus|1|to fly
