pos|word|base|stemType|declension|gender|definition
NOUN|poena|poen||1|F|penalty, punishment
NOUN|poeta|poet||1|M|poet
NOUN|pomum|pom||2|N|fruit, apple
NOUN|pons|pont|i|3|M|bridge
NOUN|populus|popul||2|M|the people, a nation
NOUN|porta|port||1|F|gate, entrance
NOUN|possessio|possession|consonant|3|F|possession, property
NOUN|praeceptum|praecept||2|N|precept
NOUN|praemium|praemi||2|N|reward
NOUN|praesidium|praesidi||2|N|guard, detachment, protection
NOUN|princeps|princip|consonant|3|N|chief
NOUN|principium|principi||2|N|beginning
NOUN|privatus|privat||2|M|private citizen
NOUN|probitas|probitat|consonant|3|F|uprightness, honesty, probity
NOUN|proditor|proditor|consonant|3|M|betrayer
NOUN|proelium|proeli||2|N|battle
NOUN|provincia|provinci||1|F|province
NOUN|prudentia|prudenti||1|F|foresight, wisdom, direction
NOUN|pudor|pudor|consonant|3|M|bashfulness, modesty
NOUN|puella|puell||1|F|girl
NOUN|puer|puer||2|M|boy
NOUN|pugna|pugn||1|F|fight, battle
NOUN|pulchritudo|pulchritudin|consonant|3|F|beauty
NOUN|ratio|ration|consonant|3|F|calculation; reason, judgment, consideration; system; manner, method
NOUN|recuperatio|recuperation|consonant|3|F|recovery
NOUN|regina|regin||1|F|queen
NOUN|remedium|remedi||2|N|remedy
NOUN|rex|reg|consonant|3|M|king
NOUN|Roma|Rom||1|F|Rome
NOUN|Romanus|Roman||2|M|a Roman
NOUN|rosa|ros||1|F|rose
NOUN|rostra|rostr||2|N|speaker's platform
NOUN|rostrum|rostr||2|N|beak of a ship
NOUN|rota|rot||1|F|wheel
NOUN|rumor|rumor|consonant|3|M|rumor, gossip
NOUN|rus|rur|consonant|3|N|country (opposite of city)
NOUN|sacculus|saccul||2|M|little bag, purse
NOUN|sacrificium|sacrifici||2|N|sacrifice
NOUN|saeculum|saecul||2|N|century, age
NOUN|sagitta|sagitt||1|F|arrow
NOUN|sal|sal|consonant|3|M|salt; wit
NOUN|salus|salut|consonant|3|F|safety
NOUN|sapiens|sapient|i|3|M|wise man, philosopher
NOUN|sapientia|sapienti||1|F|wisdom
NOUN|satura|satur||1|F|satire
NOUN|scelus|sceler|consonant|3|N|evil deed, crime, sin, wickedness
NOUN|schola|schol||1|F|school
NOUN|scientia|scienti||1|F|knowledge, science, skill
NOUN|scriba|scrib||1|M|scribe
NOUN|scriptor|scriptor|consonant|3|M|writer
NOUN|senatus|senat||4|M|senate
NOUN|senectus|senectut|consonant|3|F|old age
NOUN|senex|sen|consonant|3|M|old man
NOUN|sensus|sens||4|M|feeling, sense; discretion, tact
NOUN|servitus|servitut|consonant|3|F|servitude, slavery
NOUN|servus|serv||2|M|slave
NOUN|sidus|sider|consonant|3|M|constellation, star
NOUN|signum|sign||2|N|sign, signal, indication, seal
NOUN|silentium|silenti||2|N|silence
NOUN|silva|silv||1|F|forest, wood
NOUN|simulatio|simulation|consonant|3|F|pretense, insincerity
NOUN|socius|soci||2|M|comrade, ally
NOUN|sol|sol|consonant|3|M|sun
NOUN|solitudo|solitudin|consonant|3|F|solitude, loneliness
NOUN|somnus|somn||2|M|sleep
NOUN|sopor|sopor|consonant|3|M|deep sleep
NOUN|sordes|sord|i|3|F|filth; meanness, stinginess
NOUN|spectaculum|spectacul||2|N|spectacle, show
NOUN|spiritus|spirit||4|M|breath, breathing
NOUN|statua|statu||1|F|statue
NOUN|stella|stell||1|F|star
NOUN|stilus|stil||2|M|pencil
NOUN|studium|studi||2|N|eagerness, zeal, pursuit, study
NOUN|summa|summ||1|F|highest part, sum, whole
NOUN|supellex|supellectil|consonant|3|F|furniture, apparatus
NOUN|supplicium|supplici||2|N|punishment
